2057,7,,,,,,
TemperatureF,Dew_PointF,Humidity,Sea_Level_PressureIn,VisibilityMPH,Wind_SpeedMPH,WindDirDegrees,TripCount
0.306240929,0.497652582,0.817073171,0.047244095,0.831932773,0.226890756,0.888888889,0
0.306240929,0.497652582,0.817073171,0.051181102,0.831932773,0.257703081,0.888888889,0
0.277213353,0.422535211,0.707317073,0.062992126,0.831932773,0.291316527,0.916666667,0
0.261248186,0.422535211,0.743902439,0.066929134,0.831932773,0.193277311,1,0
0.261248186,0.422535211,0.743902439,0.062992126,0.831932773,0.162464986,0.055555556,0
0.261248186,0.405320814,0.707317073,0.066929134,0.831932773,0.098039216,0.111111111,0
0.261248186,0.402190923,0.707317073,0.070866142,0.831932773,0.128851541,0.111111111,0
0.277213353,0.422535211,0.707317073,0.082677165,0.831932773,0.128851541,0,2
0.277213353,0.391236307,0.634146342,0.090551181,0.831932773,0.193277311,0.027777778,3
0.290275762,0.405320814,0.646341463,0.094488189,0.831932773,0.226890756,0.083333333,0
0.277213353,0.405320814,0.670731707,0.094488189,0.831932773,0.098039216,0,0
0.306240929,0.436619718,0.670731707,0.106299213,0.831932773,0.128851541,0,5
0.346879536,0.422535211,0.548780488,0.106299213,0.831932773,0.128851541,0.638888889,3
0.362844703,0.405320814,0.487804878,0.098425197,0.831932773,0.226890756,0.611111111,5
0.362844703,0.405320814,0.487804878,0.094488189,0.831932773,0.257703081,0.75,7
0.346879536,0.466353678,0.646341463,0.102362205,0.831932773,0.420168067,0.638888889,13
0.333817126,0.466353678,0.670731707,0.098425197,0.831932773,0.193277311,0.666666667,20
0.306240929,0.483568075,0.780487805,0.102362205,0.243697479,0.549019608,0.722222222,3
0.261248186,0.452269171,0.829268293,0.110236221,0.579831933,0.515406163,0.861111111,0
0.245283019,0.436619718,0.829268293,0.122047244,0.831932773,0.162464986,0.694444444,0
0.261248186,0.281690141,0.451219512,0.12992126,0.831932773,0.484593838,0.805555556,0
0.23222061,0.250391236,0.451219512,0.133858268,0.831932773,0.484593838,0.805555556,0
0.216255443,0.250391236,0.475609756,0.133858268,0.831932773,0.386554622,0.805555556,0
0.203193033,0.233176839,0.475609756,0.125984252,0.831932773,0.420168067,0.777777778,0
0.188679245,0.215962441,0.475609756,0.125984252,0.831932773,0.386554622,0.75,1
0.159651669,0.215962441,0.524390244,0.122047244,0.831932773,0.322128852,0.75,1
0.14658926,0.201877934,0.524390244,0.114173228,0.831932773,0.420168067,0.777777778,0
0.130624093,0.17057903,0.5,0.106299213,0.831932773,0.355742297,0.75,0
0.114658926,0.184663537,0.56097561,0.094488189,0.831932773,0.420168067,0.694444444,0
0.114658926,0.201877934,0.597560976,0.082677165,0.831932773,0.355742297,0.694444444,0
0.130624093,0.233176839,0.62195122,0.062992126,0.831932773,0.322128852,0.638888889,0
0.14658926,0.264475743,0.658536585,0.051181102,0.411764706,0.322128852,0.611111111,4
0.130624093,0.281690141,0.743902439,0.035433071,0.058823529,0.322128852,0.611111111,0
0.14658926,0.3114241,0.780487805,0.011811024,0.117647059,0.355742297,0.638888889,0
0.23222061,0.295774648,0.536585366,0,0.831932773,0.579831933,0.777777778,6
0.203193033,0.281690141,0.573170732,0.003937008,0.201680672,1,0.805555556,2
0.14658926,0.3114241,0.780487805,0.023622047,0.033613445,0.901960784,0.833333333,2
0.14658926,0.3114241,0.780487805,0.031496063,0.243697479,0.677871149,0.833333333,2
0.175616836,0.3114241,0.707317073,0.059055118,0.74789916,0.773109244,0.861111111,5
0.175616836,0.281690141,0.634146342,0.078740158,0.159663866,0.871148459,0.861111111,3
0.188679245,0.233176839,0.5,0.125984252,0.831932773,0.644257703,0.861111111,0
0.130624093,0.264475743,0.695121951,0.125984252,0.159663866,0.901960784,0.916666667,10
0.159651669,0.14084507,0.390243902,0.161417323,0.831932773,0.773109244,0.888888889,6
0.14658926,0.061032864,0.292682927,0.181102362,0.831932773,0.549019608,0.888888889,2
0.130624093,0.043818466,0.292682927,0.200787402,0.831932773,0.484593838,0.888888889,0
0.114658926,0.061032864,0.341463415,0.208661417,0.831932773,0.355742297,0.888888889,0
0.101596517,0.092331768,0.402439024,0.212598425,0.831932773,0.193277311,0.861111111,0
0.072568941,0.092331768,0.463414634,0.216535433,0.831932773,0.128851541,0.75,0
0.058055152,0.109546166,0.524390244,0.220472441,0.831932773,0.098039216,0.777777778,0
0.072568941,0.14084507,0.548780488,0.220472441,0.831932773,0.098039216,0.694444444,0
0.072568941,0.154929578,0.585365854,0.216535433,0.831932773,0.098039216,0.611111111,0
0.08563135,0.154929578,0.56097561,0.212598425,0.831932773,0.128851541,0.638888889,0
0.072568941,0.17057903,0.62195122,0.208661417,0.831932773,0.162464986,0.5,2
0.072568941,0.14084507,0.548780488,0.212598425,0.831932773,0.162464986,0.527777778,0
0.101596517,0.14084507,0.5,0.208661417,0.831932773,0.257703081,0.5,2
0.114658926,0.154929578,0.5,0.204724409,0.831932773,0.257703081,0.472222222,4
0.159651669,0.17057903,0.43902439,0.200787402,0.831932773,0.450980392,0.527777778,3
0.188679245,0.184663537,0.414634146,0.181102362,0.831932773,0.579831933,0.527777778,6
0.277213353,0.215962441,0.329268293,0.157480315,0.831932773,0.677871149,0.555555556,7
0.362844703,0.295774648,0.317073171,0.125984252,0.831932773,0.644257703,0.583333333,7
0.449927431,0.342723005,0.268292683,0.106299213,0.831932773,0.677871149,0.611111111,10
0.522496372,0.405320814,0.256097561,0.082677165,0.831932773,0.677871149,0.638888889,17
0.608127721,0.436619718,0.195121951,0.059055118,0.831932773,0.677871149,0.638888889,32
0.698113208,0.483568075,0.158536585,0.019685039,0.831932773,0.644257703,0.666666667,41
0.698113208,0.466353678,0.146341463,0.011811024,0.831932773,0.515406163,0.638888889,46
0.682148041,0.483568075,0.170731707,0.019685039,0.831932773,0.742296919,0.694444444,13
0.653120464,0.497652582,0.219512195,0.031496063,0.831932773,0.515406163,0.694444444,1
0.624092888,0.532081377,0.292682927,0.039370079,0.831932773,0.420168067,0.722222222,5
0.333817126,0.436619718,0.609756098,0.070866142,0.831932773,0.515406163,0.111111111,0
0.245283019,0.356807512,0.634146342,0.114173228,0.831932773,0.450980392,0.027777778,0
0.203193033,0.325508607,0.670731707,0.125984252,0.831932773,0.484593838,0.055555556,0
0.18287373,0.317683881,0.695121951,0.141732284,0.831932773,0.484593838,0.055555556,0
0.188679245,0.3114241,0.670731707,0.157480315,0.831932773,0.386554622,0.027777778,0
0.175616836,0.3114241,0.707317073,0.165354331,0.831932773,0.420168067,0.027777778,0
0.159651669,0.295774648,0.695121951,0.173228347,0.831932773,0.450980392,0.027777778,0
0.159651669,0.281690141,0.670731707,0.188976378,0.831932773,0.549019608,0.027777778,0
0.159651669,0.264475743,0.634146342,0.196850394,0.831932773,0.515406163,0.972222222,0
0.159651669,0.250391236,0.597560976,0.204724409,0.831932773,0.420168067,1,1
0.159651669,0.250391236,0.597560976,0.228346457,0.831932773,0.355742297,0.027777778,0
0.159651669,0.264475743,0.634146342,0.24015748,0.831932773,0.450980392,0.027777778,0
0.188679245,0.264475743,0.56097561,0.25984252,0.831932773,0.355742297,0.972222222,0
0.175616836,0.250391236,0.56097561,0.275590551,0.831932773,0.420168067,1,0
0.159651669,0.250391236,0.597560976,0.275590551,0.831932773,0.386554622,0.027777778,2
0.159651669,0.233176839,0.56097561,0.283464567,0.831932773,0.386554622,1,2
0.159651669,0.215962441,0.524390244,0.287401575,0.74789916,0.386554622,0.027777778,2
0.14658926,0.233176839,0.585365854,0.307086614,0.831932773,0.355742297,0.083333333,0
0.130624093,0.264475743,0.695121951,0.31496063,0.411764706,0.420168067,0.083333333,0
0.114658926,0.250391236,0.707317073,0.311023622,0.495798319,0.355742297,0.083333333,1
0.114658926,0.233176839,0.658536585,0.31496063,0.663865546,0.420168067,0.055555556,0
0.101596517,0.184663537,0.585365854,0.338582677,0.831932773,0.355742297,0.083333333,0
0.114658926,0.17057903,0.524390244,0.350393701,0.831932773,0.322128852,0.111111111,0
0.101596517,0.17057903,0.56097561,0.358267717,0.831932773,0.291316527,0.111111111,0
0.114658926,0.17057903,0.524390244,0.362204724,0.831932773,0.226890756,0.083333333,0
0.101596517,0.17057903,0.56097561,0.366141732,0.831932773,0.162464986,0.083333333,0
0.08563135,0.17057903,0.597560976,0.37007874,0.831932773,0.128851541,0.083333333,0
0.072568941,0.17057903,0.62195122,0.37007874,0.831932773,0.128851541,0.027777778,0
0.072568941,0.17057903,0.62195122,0.37007874,0.831932773,0.098039216,0.055555556,0
0.044992743,0.17057903,0.695121951,0.374015748,0.831932773,0,0,0
0.015965167,0.17057903,0.768292683,0.381889764,0.831932773,0.098039216,0.944444444,0
0.058055152,0.17057903,0.658536585,0.381889764,0.831932773,0.098039216,0.083333333,0
0.08563135,0.154929578,0.56097561,0.385826772,0.831932773,0.193277311,0.222222222,0
0.114658926,0.154929578,0.5,0.38976378,0.831932773,0.257703081,0.277777778,1
0.14658926,0.123630673,0.390243902,0.393700787,0.831932773,0.291316527,0.333333333,0
0.175616836,0.092331768,0.292682927,0.38976378,0.831932773,0.257703081,0.25,2
0.188679245,0.092331768,0.280487805,0.385826772,0.831932773,0.291316527,0.361111111,1
0.216255443,0.075117371,0.219512195,0.377952756,0.831932773,0.226890756,0.416666667,4
0.245283019,0.043818466,0.158536585,0.366141732,0.831932773,0.226890756,0.444444444,10
0.277213353,0.043818466,0.12195122,0.350393701,0.831932773,0.322128852,0.444444444,7
0.306240929,0.14084507,0.195121951,0.334645669,0.831932773,0.420168067,0.444444444,10
0.306240929,0.184663537,0.243902439,0.318897638,0.831932773,0.291316527,0.416666667,11
0.306240929,0.264475743,0.353658537,0.299212598,0.831932773,0.420168067,0.416666667,7
0.306240929,0.295774648,0.402439024,0.283464567,0.831932773,0.420168067,0.444444444,2
0.277213353,0.356807512,0.573170732,0.267716535,0.495798319,0.515406163,0.444444444,2
0.261248186,0.391236307,0.670731707,0.251968504,0.831932773,0.420168067,0.416666667,0
0.261248186,0.391236307,0.670731707,0.232283465,0.831932773,0.515406163,0.388888889,0
0.261248186,0.374021909,0.634146342,0.224409449,0.831932773,0.355742297,0.444444444,0
0.277213353,0.356807512,0.573170732,0.208661417,0.831932773,0.386554622,0.444444444,0
0.277213353,0.374021909,0.597560976,0.200787402,0.831932773,0.515406163,0.472222222,0
0.290275762,0.356807512,0.536585366,0.165354331,0.831932773,0.420168067,0.416666667,0
0.277213353,0.374021909,0.597560976,0.165354331,0.74789916,0.162464986,0,0
0.277213353,0.374021909,0.597560976,0.153543307,0.831932773,0,0,0
0.277213353,0.405320814,0.670731707,0.141732284,0.831932773,0.098039216,0.805555556,0
0.261248186,0.405320814,0.707317073,0.106299213,0.831932773,0.355742297,0.416666667,0
0.277213353,0.422535211,0.707317073,0.07480315,0.831932773,0.420168067,0.472222222,0
0.319303338,0.422535211,0.609756098,0.066929134,0.831932773,0.386554622,0.527777778,1
0.319303338,0.466353678,0.707317073,0.05511811,0.579831933,0.291316527,0.583333333,0
0.333817126,0.483568075,0.707317073,0.051181102,0.327731092,0.484593838,0.583333333,1
0.333817126,0.51486698,0.792682927,0.031496063,0.831932773,0.355742297,0.611111111,0
0.339622642,0.543035994,0.841463415,0.027559055,0.327731092,0.322128852,0.583333333,0
0.346879536,0.563380282,0.878048781,0.023622047,0.411764706,0.355742297,0.611111111,0
0.362844703,0.577464789,0.865853659,0.015748032,0.495798319,0.257703081,0.666666667,0
0.362844703,0.593114241,0.914634146,0.007874016,0.495798319,0.226890756,0.611111111,0
0.375907112,0.593114241,0.878048781,0.007874016,0.74789916,0.257703081,0.638888889,0
0.375907112,0.577464789,0.829268293,0.003937008,0.579831933,0.386554622,0.805555556,2
0.362844703,0.563380282,0.829268293,0.007874016,0.495798319,0.257703081,0.75,3
0.36574746,0.571205008,0.841463415,0.003937008,0.579831933,0.322128852,0.805555556,0
0.346879536,0.563380282,0.878048781,0.007874016,0.495798319,0.193277311,0.888888889,1
0.346879536,0.546165884,0.829268293,0.003937008,0.663865546,0.193277311,0.861111111,0
0.339622642,0.571205008,0.914634146,0.007874016,0.327731092,0.291316527,0.833333333,0
0.333817126,0.563380282,0.914634146,0.011811024,0.327731092,0.257703081,0.916666667,0
